m,n,k,latency_ms,gflops
16,256,256,0.023562,89006.95
32,256,256,0.007648,548450.27
64,256,256,0.008109,1034513.10
128,256,256,0.009280,1807976.25
256,256,256,0.010090,3325623.47
512,256,256,0.012913,5197134.42
1024,256,256,0.018438,7279583.60
2048,256,256,0.028984,9261362.76
4096,256,256,0.044873,11964197.00
256,16,256,0.006971,300858.66
256,32,256,0.007529,557094.68
256,64,256,0.007957,1054227.83
256,128,256,0.008828,1900407.08
256,256,256,0.010146,3307223.94
256,512,256,0.014771,4543148.43
256,1024,256,0.022937,5851581.58
256,2048,256,0.036750,7304277.80
256,4096,256,0.053941,9952908.06
256,256,16,0.015981,131231.48
256,256,32,0.018385,228133.15
256,256,64,0.008050,1042077.48
256,256,128,0.008654,1938566.48
256,256,256,0.010138,3309735.75
256,256,512,0.012972,5173495.93
256,256,1024,0.020865,6432639.03
256,256,2048,0.034794,7714943.53
256,256,4096,0.048643,11036986.63
16,16,16,0.009603,853.08
32,32,32,0.008921,7346.35
64,64,64,0.022414,23391.09
128,128,128,0.006898,608036.59
256,256,256,0.010151,3305529.66
512,512,512,0.027667,9702439.57
1024,1024,1024,0.123880,17335130.45
2048,2048,2048,1.174282,14630099.65
4096,4096,4096,6.066740,22654499.99
