benchmark,device,blocks,size_bytes,adjusted_slope_us,adjusted_intercept_us,adjusted_r2,raw_slope_us,raw_intercept_us,raw_r2
cube_scaling,0,1,65536,4.10649,0.999989,0.123054,8.30551,123.804,0.125962
cube_throughput,0,1,65536,0.122946,0.0616979,0.999999,0.125301,2.93299,0.999996
cube_tile_latency,0,1,65536,0.120277,0.483015,1,0.123234,3.16555,0.999998
mte_buffer_capacity,0,1,65536,0.122596,0.276153,1,0.125606,2.84087,0.999998
mte_copy_bw,0,1,65536,0.133681,-0.322935,0.999999,0.136719,2.6788,0.999997
mte_granularity,0,1,65536,0.129483,-2.85623,0.999998,0.129465,2.87642,0.999998
mte_hbm_latency,0,1,65536,0.124107,-0.11273,1,0.126458,2.79946,0.999997
mte_startup_latency,0,1,65536,0.123062,0.285201,0.999999,0.125397,3.01359,0.999995
mte_write_bw,0,1,65536,0.12759,4.55113,0.999979,0.129914,7.25564,0.999981
scalar_arith_latency,0,1,65536,0.00156777,-1.81348,0.978075,0.00148865,4.51446,0.974421
scalar_branch_overhead,0,1,65536,0.00279438,-2.21636,0.991781,0.00282588,3.22955,0.990714
scalar_mem_latency,0,1,65536,0.00468129,-2.47003,0.997182,0.00468146,3.38079,0.997414
scalar_throughput,0,1,65536,-1.85198e-06,0.0299587,0.00588839,-2.54798e-05,5.77341,0.280794
cube_scaling,0,1,65536,,,,123.804,0.125962,
vector_add_latency,0,1,65536,0.0180898,-0.701945,0.998772,0.0204305,3.7672,0.999845
vector_mul_latency,0,1,65536,0.0187233,0.670718,0.99999,0.0210496,3.47925,0.99989
vector_pipeline_depth,0,1,65536,0.0174952,1.2646,0.999998,0.0204453,4.11593,0.999954
vector_reg_latency,0,1,65536,0.0182062,0.537862,0.99916,0.0204741,3.86936,0.999424
vector_throughput,0,1,65536,0.0726735,-0.174501,0.999997,0.0750192,2.65439,0.999993
